"product_name","product_url","product_brand","product_price_int","product_price_float","product_image"
"Fashion Sunglasses, 52/21/145, Black / Green / Green","https://www.amazon.com/Gucci-Fashion-Sunglasses-Black-Green/dp/B06XCVV2FC/ref=sr_1_983?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-983","Gucci","168.","73","https://m.media-amazon.com/images/I/61MG45633BL._AC_UL320_.jpg"
"Optics Cookie Reader Polarized Sunglasses","https://www.amazon.com/Suncloud-Prescription-Sunglasses-Tortoise-Polarized/dp/B001LXRQMA/ref=sr_1_984?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-984","Suncloud","","","https://m.media-amazon.com/images/I/71emMVZgbkL._AC_UL320_.jpg"
"Women's Johanna Rectangular Sunglasses","https://www.amazon.com/Kate-Spade-Johanna-Rectangular-Sunglasses/dp/B01BZ7UT02/ref=sr_1_985?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-985","Kate Spade New York","87.","38","https://m.media-amazon.com/images/I/61oTLwakALL._AC_UL320_.jpg"
"Rectangle Sunglasses for Women Men Fashion Trendy Chunky Frame 90s Rectangle Sunglasses","https://www.amazon.com/BOJOD-Rectangle-Sunglasses-Fashion-Trendy/dp/B088T1PDMZ/ref=sr_1_986?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-986","BOJOD","10.","99","https://m.media-amazon.com/images/I/41qm6Buh54L._AC_UL320_.jpg"
"Men's OO9213 Ballistic M Frame 2.0 Shield Sunglasses","https://www.amazon.com/Oakley-Ballistic-Frame-Rectangular-Sunglasses/dp/B01B5CNHCE/ref=sr_1_987?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-987","Oakley","136.","00","https://m.media-amazon.com/images/I/51Box9e-UJL._AC_UL320_.jpg"
"9 Pairs Oversize Square Sparkling Sunglasses Crystal Rhinestone Frame Glasses for Women","https://www.amazon.com/Oversize-Sparkling-Sunglasses-Crystal-Rhinestone/dp/B088M3YSCK/ref=sr_1_988?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-988","Frienda","24.","99","https://m.media-amazon.com/images/I/81MOJUlGtQL._AC_UL320_.jpg"
"Oversized Fashion Square Sunglasses Women New Mirror Men Shades Glasses Luxury Metal Rivet Trend Unique Female Eyewear","https://www.amazon.com/GUVIVI-Oversized-Fashion-Sunglasses-Champagne/dp/B088ZBJYGT/ref=sr_1_989?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-989","GUVIVI","21.","99","https://m.media-amazon.com/images/I/51qSoWRb33L._AC_UL320_.jpg"
"Hipster Hexagonal Polarized Sunglasses Men Women Geometric Square Small Vintage Metal Frame Retro Shade Glasses","https://www.amazon.com/Geometric-Polarized-Hexagonal-Sunglasses-DarkGreen/dp/B07L1HBDNY/ref=sr_1_990?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-990","HTMS","14.","56","https://m.media-amazon.com/images/I/61+6K06z05L._AC_UL320_.jpg"
"Men's Rb4177 Rectangular Sunglasses","https://www.amazon.com/Ray-Ban-RB4177-CRYSTAL-Lenses-Non-Polarized/dp/B0073GF6NU/ref=sr_1_991?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-991","Ray-Ban","89.","95","https://m.media-amazon.com/images/I/61Ai63REB4L._AC_UL320_.jpg"
"Mens Sunglasses (PO2803) Acetate","https://www.amazon.com/Persol-Sunglasses-2803S-Polarized-58-16-140/dp/B001A64CP2/ref=sr_1_992?dchild=1&keywords=sunglasses&qid=1596432872&s=apparel&sr=1-992","Persol","154.","95","https://m.media-amazon.com/images/I/719Ta1cO0nL._AC_UL320_.jpg"
